kraken_pair_name,pair_in,pair_out
ADACAD,ADA,CAD
ADAETH,ADA,ETH
ADAEUR,ADA,EUR
ADAUSD,ADA,USD
ADAXBT,ADA,XBT
ATOMECAD,ATOME,CAD
ATOMEETH,ATOME,ETH
ATOMEEUR,ATOME,EUR
ATOMEUSD,ATOME,USD
BATETH,BAT,ETH
BATEUR,BAT,EUR
BATUSD,BAT,USD
BATXBT,BAT,XBT
BCHEUR,BCH,EUR
BCHUSD,BCH,USD
BCHXBT,BCH,XBT
DAIEUR,DAI,EUR
DAIUSD,DAI,USD
DAIUSDT,DAI,SDT
DASHEUR,DASH,EUR
DASHUSD,DASH,USD
DASHXBT,DASH,XBT
EOSETH,EOS,ETH
EOSEUR,EOS,EUR
EOSUSD,EOS,USD
EOSXBT,EOS,XBT
ETHDAI,ETH,DAI
GNOETH,GNO,ETH
GNOEUR,GNO,EUR
GNOUSD,GNO,USD
GNOXBT,GNO,XBT
ICXETH,ICX,ETH
ICXEUR,ICX,EUR
ICXUSD,ICX,USD
ICXXBT,ICX,XBT
LINKETH,LINK,ETH
LINKEUR,LINK,EUR
LINKUSD,LINK,USD
LINKXBT,LINK,XBT
LSKETH,LSK,ETH
LSKEUR,LSK,EUR
LSKUSD,LSK,USD
LSKXBT,LSK,XBT
NANOETH,NANO,ETH
NANOEUR,NANO,EUR
NANOUSD,NANO,USD
NANOXBT,NANO,XBT
OMGETH,OMG,ETH
OMGEUR,OMG,EUR
OMGUSD,OMG,USD
OMGXBT,OMG,XBT
PAXGETH,PAXG,ETH
PAXGEUR,PAXG,EUR
PAXGUSD,PAXG,USD
PAXGXBT,PAXG,XBT
QTUMCAD,QTUM,CAD
QTUMETH,QTUM,ETH
QTUMEUR,QTUM,EUR
QTUMUSD,QTUM,USD
QTUMXBT,QTUM,XBT
SCETH,SC,ETH
SCEUR,SC,EUR
SCUSD,SC,USD
SCXBT,SC,XBT
USDTZUSD,USDT,USD
WAVESETH,WAVES,ETH
WAVESEUR,WAVES,EUR
WAVESUSD,WAVES,USD
WAVESXBT,WAVES,XBT
XETCXETH,ETC,ETH
XETCXXBT,ETC,XBT
XETCZEUR,ETC,EUR
XETCZUSD,ETC,USD
XETHXXBT,ETH,XBT
XETHXXBT.d,ETH,XBT.d
XETHZCAD,ETH,CAD
XETHZCAD.d,ETH,CAD.d
XETHZEUR,ETH,EUR
XETHZEUR.d,ETH,EUR.d
XETHZGBP,ETH,GBP
XETHZGBP.d,ETH,GBP.d
XETHZJPY,ETH,JPY
XETHZJPY.d,ETH,Y.d
XETHZUSD,ETH,USD
XETHZUSD.d,HZU,D.d
XLTCXXBT,LTC,XBT
XLTCZEUR,LTC,EUR
XLTCZUSD,LTC,USD
XMLNXETH,MLN,ETH
XMLNXXBT,MLN,XBT
XREPXETH,REP,ETH
XREPXXBT,REP,XBT
XREPZEUR,REP,EUR
XREPZUSD,REP,USD
XTZCAD,XTZ,CAD
XTZETH,XTZ,ETH
XTZEUR,XTZ,EUR
XTZUSD,XTZ,USD
XTZXBT,XTZ,XBT
XXBTZCAD,XBT,CAD
XXBTZCAD.d,XBT,CAD.d
 XXBTZEUR,XBT,EUR
XXBTZEUR.d,XBT,EUR.d
XXBTZGBP,XBT,GBP
XXBTZGBP.d,XBT,GBP.d
XXBTZJPY,XBT,JPY
XXBTZJPY.d,XBT,JPY.d
XXBTZUSD,XBT,USD
XXBTZUSD.d,TZU,D.d
XXDGXXBT,XDG,XBT
XXLMXXBT,XLM,XBT
XXLMZEUR,XLM,EUR
XXLMZUSD,XLM,USD
XXMRXXBT,XMR,XBT
XXMRZEUR,XMR,EUR
XXMRZUSD,XMR,USD
XXRPXXBT,XRP,XBT
XXRPZCAD,XRP,CAD
XXRPZEUR,XRP,EUR
XXRPZJPY,XRP,JPY
XXRPZUSD,XRP,USD
XZECXXBT,ZEC,XBT
XZECZEUR,ZEC,EUR
XZECZJPY,ZEC,JPY
XZECZUSD,ZEC,USD
