kraken_pair_name,pair_in,pair_out,activePair
ADACAD,ADA,CAD,false
ADAETH,ADA,ETH,true
ADAEUR,ADA,EUR,true
ADAUSD,ADA,USD,true
ADAXBT,ADA,XBT,true
ATOMECAD,ATOME,CAD,false
ATOMEETH,ATOME,ETH,true
ATOMEEUR,ATOME,EUR,true
ATOMEUSD,ATOME,USD,true
BATETH,BAT,ETH,true
BATEUR,BAT,EUR,true
BATUSD,BAT,USD,true
BATXBT,BAT,XBT,true
BCHEUR,BCH,EUR,true
BCHUSD,BCH,USD,true
BCHXBT,BCH,XBT,true
DAIEUR,DAI,EUR,true
DAIUSD,DAI,USD,true
DAIUSDT,DAI,SDT,true
DASHEUR,DASH,EUR,true
DASHUSD,DASH,USD,true
DASHXBT,DASH,XBT,true
EOSETH,EOS,ETH,true
EOSEUR,EOS,EUR,true
EOSUSD,EOS,USD,true
EOSXBT,EOS,XBT,true
ETHDAI,ETH,DAI,true
GNOETH,GNO,ETH,true
GNOEUR,GNO,EUR,true
GNOUSD,GNO,USD,true
GNOXBT,GNO,XBT,true
ICXETH,ICX,ETH,true
ICXEUR,ICX,EUR,true
ICXUSD,ICX,USD,true
ICXXBT,ICX,XBT,true
LINKETH,LINK,ETH,true
LINKEUR,LINK,EUR,true
LINKUSD,LINK,USD,true
LINKXBT,LINK,XBT,true
LSKETH,LSK,ETH,true
LSKEUR,LSK,EUR,true
LSKUSD,LSK,USD,true
LSKXBT,LSK,XBT,true
NANOETH,NANO,ETH,true
NANOEUR,NANO,EUR,true
NANOUSD,NANO,USD,true
NANOXBT,NANO,XBT,true
OMGETH,OMG,ETH,true
OMGEUR,OMG,EUR,true
OMGUSD,OMG,USD,true
OMGXBT,OMG,XBT,true
PAXGETH,PAXG,ETH,true
PAXGEUR,PAXG,EUR,true
PAXGUSD,PAXG,USD,true
PAXGXBT,PAXG,XBT,true
QTUMCAD,QTUM,CAD,false
QTUMETH,QTUM,ETH,true
QTUMEUR,QTUM,EUR,true
QTUMUSD,QTUM,USD,true
QTUMXBT,QTUM,XBT,true
SCETH,SC,ETH,true
SCEUR,SC,EUR,true
SCUSD,SC,USD,true
SCXBT,SC,XBT,true
USDTZUSD,USDT,USD,true
USDTZEUR,USDT,EUR,true
USDTCAD,USDT,CAD,true
USDTGBP,USDT,GBP,true
WAVESETH,WAVES,ETH,true
WAVESEUR,WAVES,EUR,true
WAVESUSD,WAVES,USD,true
WAVESXBT,WAVES,XBT,true
XETCXETH,ETC,ETH,true
XETCXXBT,ETC,XBT,true
XETCZEUR,ETC,EUR,true
XETCZUSD,ETC,USD,true
XETHXXBT,ETH,XBT,true
XETHZCAD,ETH,CAD,true
XETHZEUR,ETH,EUR,true
XETHZGBP,ETH,GBP,true
XETHZJPY,ETH,JPY,true
XETHZUSD,ETH,USD,true
XETHUSDT,ETH,USDT,true
XLTCXXBT,LTC,XBT,true
XLTCZEUR,LTC,EUR,true
XLTCZUSD,LTC,USD,true
XMLNXETH,MLN,ETH,true
XMLNXXBT,MLN,XBT,true
XMLNZEUR,MLN,EUR,true
XMLNZUSD,MLN,USD,true
XREPXETH,REP,ETH,true
XREPXXBT,REP,XBT,true
XREPZEUR,REP,EUR,true
XREPZUSD,REP,USD,true
XTZCAD,XTZ,CAD,false
XTZETH,XTZ,ETH,true
XTZEUR,XTZ,EUR,true
XTZUSD,XTZ,USD,true
XTZXBT,XTZ,XBT,true
XXBTZCAD,XBT,CAD,true
XXBTZEUR,XBT,EUR,true
XXBTZGBP,XBT,GBP,true
XXBTZJPY,XBT,JPY,true
XXBTZUSD,XBT,USD,true
XXBTUSDT,XBT,USDT,true
XXBTXDAI,XBT,DAI,true
XXDGXXBT,XDG,XBT,true
XXDGZEUR,XDG,EUR,true
XXDGZUSD,XDG,USD,true
XXLMXXBT,XLM,XBT,true
XXLMZEUR,XLM,EUR,true
XXLMZUSD,XLM,USD,true
XXMRXXBT,XMR,XBT,true
XXMRZEUR,XMR,EUR,true
XXMRZUSD,XMR,USD,true
XXRPXXBT,XRP,XBT,true
XXRPZCAD,XRP,CAD,true
XXRPZEUR,XRP,EUR,true
XXRPZJPY,XRP,JPY,true
XXRPZUSD,XRP,USD,true
XZECXXBT,ZEC,XBT,true
XZECZEUR,ZEC,EUR,true
XZECZJPY,ZEC,JPY,false
XZECZUSD,ZEC,USD,true
